№,ИНН,Наименование организации,Полное наименование организации,Сайт
2163,7728043965,"ООО ""НПП ""ПЛАСМА""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ НАУЧНО-ПРОИЗВОДСТВЕННОЕ ПРЕДПРИЯТИЕ ""ПЛАСМА""",Пласма.РФ
2181,7714276007,"ООО ""СЮРТЕЛЬ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЮРТЕЛЬ""",www.suritel.ru
2188,7733834257,"ООО ""ПРОЕКТ-60""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОЕКТ-60""",yastova.ru
2301,7720089118,"ООО ""МОСКОВСКОЕ УПП № 12 ВОС""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МОСКОВСКОЕ УЧЕБНО-ПРОИЗВОДСТВЕННОЕ ПРЕДПРИЯТИЕ № 12 ВСЕРОССИЙСКОГО ОБЩЕСТВА СЛЕПЫХ""",www.upp12.ru
2328,7721573924,"ООО ""ПК ХАММЕР""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОИЗВОДСТВЕННАЯ КОМПАНИЯ ХАММЕР""",www.xammer-luki.ru
2334,7705206701,"ООО ""СЭНДЭС""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЭНДЭС""",www.sendes.ru
2384,6323071433,"ООО ""ПРОЗЕТ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОЗЕТ""",www.telvisalon.ru
2394,7701892954,"ООО ""МОБИЛЬНОЕ ВЫСТАВОЧНОЕ ОБОРУДОВАНИЕ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МОБИЛЬНОЕ ВЫСТАВОЧНОЕ ОБОРУДОВАНИЕ""",zharcvet.ru
2471,7743838194,"ООО ""ТПК МЕБЕЛЬНАЯ КОМПАНИЯ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТПК МЕБЕЛЬНАЯ КОМПАНИЯ""",тпкмк.рф
2505,7721589804,"ООО ""МОДЕРОН""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МОДЕРОН""",zaschitka.ru
2526,7714915366,"ООО ""Инновационная  компания ""Ялос""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИННОВАЦИОННАЯ КОМПАНИЯ ""ЯЛОС""",yalosindicator.ru
2879,7729711848,"ООО ""КОМПРЕССОРТЕХ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОМПРЕССОРНЫЕ ТЕХНОЛОГИИ""",спецсталь.рф
2932,7718275501,"ООО ""Знак М""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЗНАК М""",znak-m.ru
2938,7709446006,"ООО ЧАСОВАЯ КОМПАНИЯ ""РОМАНОФФ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ЧАСОВАЯ КОМПАНИЯ ""РОМАНОФФ""",www.romanoff.ru
2943,7708619320,"ПАО ""ОАК""","ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ОБЪЕДИНЕННАЯ АВИАСТРОИТЕЛЬНАЯ КОРПОРАЦИЯ""",www.uacrussia.ru
2945,7719193996,"ООО ""ТСЗП""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕХНОЛОГИЧЕСКИЕ СИСТЕМЫ ЗАЩИТНЫХ ПОКРЫТИЙ""",www.tspc.ru
2953,7726534774,"АО ""НПП ""ВОЛНА""","АКЦИОНЕРНОЕ ОБЩЕСТВО ""НАУЧНО-ПРОИЗВОДСТВЕННОЕ ПРЕДПРИЯТИЕ ""ВОЛНА""",www.volna.ru
2957,7719247218,"АО ""НПФ ""ТЕХНОЯКС""","АКЦИОНЕРНОЕ ОБЩЕСТВО ""НАУЧНО-ПРОИЗВОДСТВЕННАЯ ФИРМА ""ТЕХНОЯКС""",www.tehnojaks.ru
3130,7716691739,"ООО ""3Д ПРЕСС""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""3Д ПРЕСС""",картон-упаковка.рф
3136,7728745940,"ООО ""АСТРА""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АСТРА""",x-tumba.ru
